Category,Description,Amount,Date
miscellaneous,401(k) contribution,95.69,2024-01-01
food,dinner at mcdonald's,200.0,2024-01-01
transportation,gas station fill-up,148.39,2024-01-01
healthcare,dentist appointment,260.31,2024-01-02
miscellaneous,hotel booking,257.96,2024-01-02
healthcare,health insurance premium,295.95,2024-01-02
housing,monthly mortgage payment,58.42,2024-01-02
entertainment,art supplies,239.1,2024-01-03
miscellaneous,pet food purchase,105.49,2024-01-04
housing,house rent,280.73,2024-01-04
transportation,subway ticket,151.33,2024-01-06
food,dinner at mcdonald's,200.0,2024-01-06
entertainment,theater show,236.05,2024-01-01
entertainment,spotify subscription,114.67,2024-01-01
healthcare,dental insurance payment,251.07,2024-01-04
food,supermarket run,235.33,2024-01-05
miscellaneous,veterinary check-up,197.57,2024-01-05
entertainment,spotify subscription,168.59,2024-01-05
housing,water bill,261.91,2024-01-06
housing,house rent,207.61,2024-01-07
healthcare,over-the-counter medicines,245.66,2024-01-01
shopping,holiday shopping,92.25,2024-01-02
healthcare,dental insurance payment,243.49,2024-01-02
miscellaneous,stock market investment,121.78,2024-01-02
miscellaneous,shoes shopping,214.95,2024-01-03
transportation,electric car charging,195.86,2024-01-04
miscellaneous,flight tickets,111.01,2024-01-05
miscellaneous,travel insurance,286.67,2024-01-06
healthcare,dental insurance payment,132.94,2024-01-06
miscellaneous,401(k) contribution,182.53,2024-01-06
miscellaneous,casual wear purchase,172.61,2024-01-06
miscellaneous,car loan monthly payment,125.23,2024-01-06
shopping,home decor items,193.56,2024-01-07
healthcare,health insurance premium,103.05,2024-01-01
shopping,birthday gift for friend,85.47,2024-01-01
miscellaneous,online course fee,123.41,2024-01-02
miscellaneous,personal loan installment,182.89,2024-01-03
healthcare,over-the-counter medicines,185.26,2024-01-03
miscellaneous,online course fee,145.02,2024-01-03
shopping,kitchenware purchase,217.81,2024-01-03
miscellaneous,credit card bill payment,132.25,2024-01-04
transportation,gas station fill-up,187.24,2024-01-05
shopping,birthday gift for friend,118.53,2024-01-05
miscellaneous,shoes shopping,257.65,2024-01-05
miscellaneous,e-book download,64.2,2024-01-05
entertainment,amazon prime renewal,242.35,2024-01-05
miscellaneous,sports equipment,157.27,2024-01-07
transportation,lyft trip,288.52,2024-01-01
healthcare,over-the-counter medicines,250.58,2024-01-01
healthcare,annual check-up,231.42,2024-01-02
miscellaneous,stock market investment,240.17,2024-01-02
housing,monthly mortgage payment,213.81,2024-01-03
housing,rent for apartment,185.47,2024-01-03
miscellaneous,car loan monthly payment,249.76,2024-02-01
shopping,new smartphone,299.99,2024-02-02
miscellaneous,textbook purchase,97.8,2024-02-02
miscellaneous,miscellaneous purchase,162.58,2024-02-03
miscellaneous,transfer to emergency savings,288.03,2024-02-03
miscellaneous,ira deposit,67.57,2024-02-03
housing,internet service,110.0,2024-02-04
food,dinner at mcdonald's,200.0,2024-02-04
